,Unnamed: 0.2,giga_id_school,lat,lon,connectivity,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.urban,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.var,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_res_30,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.var,nightlight.avg_rad.max,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,connectivity.1,boundary_Barolong,boundary_Bobonong,boundary_Boteti,boundary_Chobe,boundary_Francistown,boundary_Gaborone,boundary_Ghanzi,boundary_Kgalagadi North,boundary_Kgalagadi South,boundary_Kgatleng,boundary_Kweneng East,boundary_Kweneng West,boundary_Lobatse,boundary_Mahalapye,boundary_Ngamiland East,boundary_Ngamiland West,boundary_Ngwaketse West,boundary_North East,boundary_Orapa,boundary_Selibe Phikwe,boundary_Serowe Palapye,boundary_South East,boundary_Southern,boundary_Sowa Town,boundary_Tutume,education_level,nearest_LTE_distance,nearest_UMTS_distance,nearest_GSM_distance
109,109,d6a24350-783a-359a-b219-281808bd952e,-24.7916144,25.4174335,1.0,"(25.4174335, -24.7916144)",10,2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0,0,0.0,0,6.679101716144945e-13,14.84741497039795,14.847412109375,2.0,27.805292273125986,0.0918859101131617,0.3713632956127512,0.0924927712133652,0.00010709313533,0.0116731517509727,0.0,0.0013922107592903,0.1564987684289437,0.274586798986185,0.0,0.0,0.567522221825581,0.0013146976627375,0.4200166165828705,146.57474734820428,5.764237777969523,10.995833237965902,1.4641666611035664,0.2009259259259259,13.333333333333334,12.333333333333334,9303,1829,19,1,1,1942.1325474930395,3698,8273,35,1,1,598.3579795691184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,40.7,1.32,0.84
110,110,a062da60-b5f5-33f3-9398-cc5632415f27,-24.6088882,25.9488836,1.0,"(25.9488836, -24.6088882)",10,1.5555555555555558,0,0,0,0,0,0.0,0.0,0,0.0,0.7777777777777778,0.0,0.0,0.2222222222222222,0,0,0.0,0,1.2278178473934529e-10,215.44802856445312,215.447982788086,13.0,30.916508754488888,0.2418666666666666,0.2440533333333333,0.0176,0.0,0.0,0.0,0.0257066666666666,0.1391466666666666,0.3316266666666667,0.0,0.0,0.50352,0.0058876114935963,0.5580677390098572,322.9952382766641,66.87542411236454,33.13750012715658,3.26583335796992,0.3422222222222222,14.75,13.25,110754,7772,23,3,2,0.0,14492,3792,33,3,2,91.66394745325672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.83,0.13,0.43
111,111,d95d1976-8b26-3c66-9841-54df5a13c72a,-24.914794,25.4629826,0.0,"(25.4629826, -24.914794)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.8189894035458565e-12,14.847416877746582,14.847412109375,2.0,21.48418366382678,0.0260882870476627,0.3653125239078877,0.1858312294392166,0.0,0.0002295157218269,0.0,0.1681585188585418,0.2543799250248642,0.0,0.0,0.0,0.577461556116594,0.0032212300056164,0.288653701543808,458.23470271135113,0.3931285488066219,2.257499992847442,0.2383333320418993,0.235,13.333333333333334,12.083333333333334,9744,2941,25,2,1,14383.376794033946,3931,3569,47,1,1,1604.3767912329924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,37.95,10.32,1.25
112,112,b02bd5f2-ea9b-364e-9068-923f4e522b1b,-22.192081,20.3172473,1.0,"(20.3172473, -22.192081)",7,0.0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,2.317590563905015e-15,0.9147796034812928,0.9147794246673584,2.0,25.31456979340514,0.0900954653937947,0.4069212410501193,0.0220763723150358,0.0,0.0,0.0,0.233890214797136,0.0889021479713603,0.1581145584725537,0.0,0.0,0.5190930787589498,3.648862713003196e-05,0.0264747012406587,261.2672502066973,0.0035634666450341,0.3274999965603153,0.1191666660209496,0.2583999999999999,13.333333333333334,12.25,7296,1655,84,1,1,97735.65886947064,11685,27758,67,1,1,27522.801060271737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,399.42,33.6,3.87
113,113,e314b742-77a1-3249-b8f2-acd6b448026c,-24.6619416,25.88123,0.0,"(25.88123, -24.6619416)",13,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,1.5522042910257974e-10,215.44802856445312,215.447998046875,13.0,32.59254414509601,0.3079881439384661,0.1609386865247532,0.0049481909707762,0.0,0.0506332214682899,0.0,0.0,0.0046787350268231,0.4701761262033657,0.0,0.0,0.5245082429022855,0.0012925647797402,0.7859195470809937,467.20131334547887,21.983706343818124,33.414999643961586,13.28416665395101,0.3203703703703703,14.5,13.25,4931,1921,16,1,1,0.0,3311,5951,55,12,4,284.8735344083979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.55,0.21,0.35
114,114,51f32da0-434f-38a4-88c3-7e690efde9d2,-22.102198,21.7704603,1.0,"(21.7704603, -22.102198)",7,0.0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,2.4561971112694824e-15,0.9147796034812928,0.9147794246673584,11.0,22.574900371766365,0.3620950650923403,0.2235846200423857,0.0004541326067211,0.0,0.0,0.0,0.4138661822585528,0.0,0.0,0.0,0.0,0.5861338177414471,1.7392746084817288e-05,0.0269535221159458,550.1824924417093,0.0104603240598738,0.5391666640837988,0.1700000005463758,0.2522222222222222,13.75,12.583333333333334,35175,13333,29,1,1,0.0,4806,4724,29,2,1,37713.35560495591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,284.88,43.12,20.38
115,115,67c12362-9288-3cb2-b079-13070e512b91,-23.0354027,27.5334978,0.0,"(27.5334978, -23.0354027)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,4.673792217444215e-13,7.560386657714844,7.560384750366211,2.0,23.94666214038488,0.1890270038576939,0.3741010620564842,0.0474353479068438,0.0,0.0,0.0,0.099204648283088,0.2902319378958899,0.0,0.0,0.0,0.6105634138210221,0.0022452007032974,0.2708503305912018,1.711766408290714,0.5472016440856816,3.100833296775818,0.3616666657229264,0.309537037037037,14.25,12.666666666666666,902,18705,36,11,1,18502.835339110923,1202,938,410,1,1,19095.242904733263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,71.45,21.73,15.52
116,116,e688dca1-7f00-3c03-8fe7-762b67ddb6c2,-22.428694,26.6934723,0.0,"(26.6934723, -22.428694)",10,2.1388888888888897,0,0,0,0,0,0.0,0.0,0,0.0,0.6111111111111112,0.0,0.0,0.3888888888888889,0,0,0.0,0,1.5158245029548808e-13,5.427535057067871,5.427534103393555,2.0,26.78137198072097,0.151860593582082,0.3831667754733089,0.0264651232862953,0.0,0.0,0.0,0.0439411439762968,0.2854416712700246,0.1091246924119921,0.0,0.0,0.5614924923416863,0.0271338476210518,0.277001142501831,1496.0236173905744,0.5913184784352602,3.4083333214124045,0.4449999990562598,0.2149074074074074,14.666666666666666,13.416666666666666,95698,40298,36,1,1,3527.5305755649224,16331,7611,37,2,1,1333.0538625913427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,42.49,1.16,0.77
117,117,87343ead-be8e-3ab8-9fc9-4d13a42f481c,-20.7504407,26.8934989,0.0,"(26.8934989, -20.7504407)",10,2.0,0,0,0,0,0,0.0,0.3333333333333333,0,0.0,0.6666666666666666,0.0,0.0,0.0,0,0,0.0,0,9.316004757743534e-14,4.543508529663086,4.5435075759887695,2.0,23.392669617401417,0.0431523717742799,0.3183424349502088,0.1942392119070564,0.0,0.0026769461398436,0.0,0.1047221329906842,0.2579505300353357,0.0789163722025912,0.0,0.0,0.5584109647713889,0.0068265964049346,0.0911995843052864,23272.95151411418,0.0177138613351265,0.6233333374063174,0.1650000003476937,0.2530555555555555,13.916666666666666,12.583333333333334,13228,30541,18,2,1,29988.06967676929,1269,729,36,3,2,34439.13734622808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,79.05,21.11,0.79
118,118,47d5435e-19da-3c4e-8450-7331e2881835,-24.2442826,25.8620887,1.0,"(25.8620887, -24.2442826)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.4372261953942569e-12,34.205406188964844,34.20540237426758,2.0,23.566052480014083,0.108122191102716,0.3999218393799257,0.0789422262749951,0.0,0.0,0.0,0.1318960463753012,0.2552595583924966,0.0258581384745652,0.0,0.0,0.5869862567576369,0.0007875762952884,0.3077787756919861,481.1529922787233,1.2474825734674018,4.34583334128062,0.3983333309491475,0.5703703703703703,14.166666666666666,11.833333333333334,51576,10098,26,1,1,26964.789180997806,7128,864,646,1,1,17456.83935007608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,33.82,1.44,1.1
