,giga_id_school,lat,lon,connectivity,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.urban,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.var,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_res_30,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.var,nightlight.avg_rad.max,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,boundary_Barolong,boundary_Bobonong,boundary_Boteti,boundary_Chobe,boundary_Francistown,boundary_Gaborone,boundary_Ghanzi,boundary_Kgalagadi North,boundary_Kgalagadi South,boundary_Kgatleng,boundary_Kweneng East,boundary_Kweneng West,boundary_Lobatse,boundary_Mahalapye,boundary_Ngamiland East,boundary_Ngamiland West,boundary_Ngwaketse West,boundary_North East,boundary_Orapa,boundary_Selibe Phikwe,boundary_Serowe Palapye,boundary_South East,boundary_Southern,boundary_Sowa Town,boundary_Tutume,education_level,nearest_LTE_distance,nearest_UMTS_distance,nearest_GSM_distance
348,03d02d22-db88-3075-8a18-660d417fece4,-24.9915766,25.3700065,1.0,"(25.3700065, -24.9915766)",10,0.8099999999999999,0,0,0,0,0,0.0,0.0,0,0.0,0.9,0.0,0.0,0.1,0,0,0.0,0,6.568572846137815e-13,14.847415924072266,14.847413063049316,2.0,26.128424323090645,0.0357566514150144,0.3483025475908038,0.1679941252894989,0.0,0.0,0.0,0.0359826018189007,0.1750550754109473,0.2369089984748347,0.0,0.0,0.5520533242953172,0.0189899395552317,0.3458051085472107,266.96183939417824,0.5570198922434632,3.499166667461396,0.7741666535536448,0.2967592592592593,13.5,12.083333333333334,9744,2941,25,2,1,1654.793084979975,10631,10599,17,5,1,1125.1704026438313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,38.4,0.35,1.68
349,a3c9b90a-e567-32d4-bb3b-5e438dd7efe0,-24.6644622,25.6977254,1.0,"(25.6977254, -24.6644622)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.2631870857957336e-14,2.260459423065185,2.2604591846466064,2.0,24.3836931513346,0.0552097428958051,0.4257104194857916,0.0629228687415426,0.0,0.0039918809201623,0.0,0.0717185385656292,0.3510825439783491,0.0293640054127198,0.0,0.0,0.5478349120433018,0.0012257924645854,0.3009296655654907,1005.8966717934236,3.6080579679700056,6.205000003178914,0.3849999991556008,0.3013117283950617,14.083333333333334,12.416666666666666,4393,347,42,2,1,1979.646463580597,1632,1968,26,1,1,1183.8773225161715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.99,1.31,0.97
350,d1ec8070-9235-3b59-904f-b907342c0a83,-20.863318,27.2267603,0.0,"(27.2267603, -20.863318)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,15.083073933396552,13.695771217346191,4.5435075759887695,2.0,26.729512111020416,0.0435428571428571,0.3333142857142857,0.1617714285714285,0.0,0.0,0.0,0.0535428571428571,0.1178857142857142,0.2899428571428571,0.0,0.0,0.5386285714285715,0.0002685947791723,0.2820120453834533,415.54291882838777,0.4457633813057378,2.631666660308838,0.3374999985098839,0.3247222222222222,14.5,13.0,3162,281,78,1,1,11742.662139784552,5821,4345,26,1,1,326.3597225093207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,44.67,3.19,1.2
351,67d19b0c-0ec3-3da8-a658-7666eda0d6f7,-19.8507795,23.5874667,0.0,"(23.5874667, -19.8507795)",10,0.3456,0,0,0,0,0,0.0,0.04,0,0.0,0.96,0.0,0.0,0.0,0,0,0.0,0,2.5263741715914672e-14,2.130034208297729,2.130033731460572,11.0,17.23504845673121,0.0020894274968658,0.1897200167154199,0.3735896364396155,0.0,0.0,0.0,0.4346009193480986,0.0,0.0,0.0,0.0,0.5653990806519014,4.411950296471947e-06,0.0487136580049991,953.1691251264624,0.2034968253297076,1.5249999860922496,0.1800000009437401,0.2885333333333332,13.166666666666666,11.916666666666666,51017,23157,27,3,1,165.19760738586797,620,866,32,1,1,11977.336585963052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.26,10.66,2.33
352,11e5ce2f-dd1a-351c-a56c-42ee360f14c2,-20.4903425,27.0353387,1.0,"(27.0353387, -20.4903425)",10,2.2100000000000004,0,0,0,0,0,0.0,0.4333333333333333,0,0.0,0.5666666666666667,0.0,0.0,0.0,0,0,0.0,0,3.9299153780311724e-14,4.543508052825928,4.5435075759887695,2.0,27.588007246583768,0.0850746268656716,0.3191733639494833,0.1059701492537313,0.0001148105625717,0.0185993111366245,0.0,0.0216226559510141,0.17734404898584,0.2711825487944891,0.0,0.0,0.5289322617680826,0.0027278035337527,0.3451058268547058,393.8212838979031,4.63423943041188,8.550000011920929,1.44333333025376,0.1785185185185185,14.666666666666666,13.333333333333334,57250,3311,33,1,1,4781.381181926328,3659,728,28,3,2,224.2882494172081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,89.67,0.63,0.15
353,19226de2-9bcc-3139-b761-73683d7615f0,-23.3814459,24.659291,0.0,"(24.659291, -23.3814459)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.7368822429691336e-14,2.260459423065185,2.260458946228028,11.0,21.02621882086167,0.2045068027210884,0.3500566893424036,0.0365646258503401,0.0,0.0,0.0,0.4088718820861678,0.0,0.0,0.0,0.0,0.5911281179138322,3.269962980923107e-05,0.0967056527733802,18570.3269760496,0.0066878342780285,0.4699999994287888,0.1474999984105427,0.3360339506172839,13.666666666666666,12.083333333333334,434,430,31,1,1,128179.8607338801,31835,44234,15,2,1,38965.63514118281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,173.34,76.35,76.09
354,40323480-9600-36f8-a381-c86d045da6ee,-25.0744397,25.44017,0.0,"(25.44017, -25.0744397)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,7.389644451905042e-13,14.847415924072266,14.847412109375,2.0,26.264113721062408,0.1111819727891156,0.3927862811791383,0.046485260770975,0.0,0.0002834467120181,0.0,0.0771683673469387,0.2422052154195011,0.1298894557823129,0.0,0.0,0.5507369614512472,0.000762901663151,0.2809007167816162,266.5223731817467,0.4099969879012149,2.327499995628993,0.2591666715840498,0.3174074074074074,13.666666666666666,12.333333333333334,85865,2475,28,1,1,14270.139734159264,5727,3907,38,1,1,10397.529523750854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,27.45,1.04,0.72
355,e1fabe37-1d6e-3457-aa91-f1bd8bbbe867,-24.6855986,25.7847507,1.0,"(25.7847507, -24.6855986)",10,2.16,0,0,0,0,0,0.0,0.12,0,0.0,0.76,0.0,0.0,0.12,0,0,0.0,0,3562.274852343742,215.4480438232422,6.871073722839356,2.0,26.954342188081103,0.249246483590087,0.3160582719356999,0.0061955793703951,0.0,0.0,0.0,0.1326188881446751,0.1693737441393168,0.1265070328198258,0.0,0.0,0.5715003348961822,0.0021040988813596,0.4384665787220001,39.91296765857467,8.816204745840297,10.147500197092691,0.6024999972432852,0.2582947530864197,14.5,13.0,60017,7396,24,3,1,1668.7211264233629,7681,4851,31,2,2,445.9940260775178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.88,0.31,0.83
356,c62e2cd2-13cf-3e83-9629-50b19a2edac4,-24.478205,25.6631703,0.0,"(25.6631703, -24.478205)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,49.00947022953852,24.66167449951172,2.2604591846466064,2.0,19.81085614819197,0.0404701681297426,0.4554381788424341,0.0679958339532807,0.0,0.0,0.0,0.4360958190745425,0.0,0.0,0.0,0.0,0.5639041809254576,0.0005636728467727,0.1818138360977172,208.7235156718,0.7653509304417883,3.821666677792867,0.3224999969825148,0.4825925925925926,13.583333333333334,11.916666666666666,48867,32619,36,1,1,3770.505303014314,2356,2490,37,1,1,3770.505303014314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15.61,3.45,1.86
357,0df2b34e-a042-376e-88b2-4da243915fa1,-24.6650398,25.862674,1.0,"(25.862674, -24.6650398)",10,2.2464,0,0,0,0,0,0.0,0.0,0,0.0,0.52,0.0,0.0,0.48,0,0,0.0,0,9.198247650523248e-11,215.44802856445312,215.447998046875,13.0,33.659992671667766,0.2879386474552637,0.1779766054690526,0.034200945077078,0.0008133860097606,0.0113486714695173,0.0,0.0010845146796808,0.0521341699589433,0.4284994964753273,0.0,0.0,0.5122782554806724,0.0108307545267065,0.549142599105835,223.53686123564745,33.82138947443458,19.71166642506917,1.786666641632716,0.2988888888888888,14.416666666666666,12.833333333333334,42820,56414,15,1,1,0.0,7851,6702,16,14,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2,0.21,0.2
